NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Brewster village, New York",2505,54348,290400,269,50,216,265,29,62,89,1021,36,08070
"Brewster Heights CDP, New York",1183,99629,327100,246,145,0,0,0,0,0,391,36,08081
"Brewster Hill CDP, New York",2647,84529,362300,1010,0,10,35,0,0,0,1085,36,08092
"Briarcliff Manor village, New York",7587,184286,734700,2096,324,0,42,106,9,34,2969,36,08103
"Bridgehampton CDP, New York",1447,147813,1613100,2380,12,47,16,0,0,0,2463,36,08136
"Bridgeport CDP, New York",1567,53935,94800,577,0,0,0,28,11,8,624,36,08147
"Bridgeville CDP, New York",205,95962,164100,145,0,0,0,0,0,0,145,36,08158
"Bridgewater CDP, New York",518,42125,74300,110,3,26,47,0,0,0,252,36,08169
"Brighton CDP, New York",36986,75852,206200,9254,1101,88,761,2776,999,446,16745,36,08257
"Brightwaters village, New York",3169,147813,576000,1023,0,0,12,0,5,0,1040,36,08323
"Brinckerhoff CDP, New York",2459,73145,317200,835,147,27,87,40,30,0,1172,36,08334
"Broadalbin village, New York",1716,82800,139600,494,5,70,127,3,0,0,734,36,08422
"Brockport village, New York",7246,50316,109600,1062,101,227,175,161,217,97,2140,36,08466
"Brocton village, New York",1467,43700,87600,373,0,54,64,16,0,27,624,36,08488
"Bronxville village, New York",6569,168917,1039100,882,147,50,33,193,256,629,2387,36,08532
"Brookhaven CDP, New York",3397,94730,493800,1053,0,0,0,0,0,0,1237,36,09000
"Brooktondale CDP, New York",364,81750,373500,102,0,71,17,0,0,0,190,36,10077
"Brookville village, New York",2937,250001,2000001,742,3,5,24,7,0,0,781,36,10132
"Brownville village, New York",693,90978,159800,280,8,39,4,0,12,0,343,36,10231
"Brushton village, New York",497,47283,92500,164,0,10,44,23,0,0,261,36,10286
"Buchanan village, New York",2236,119076,389100,638,35,69,11,9,21,20,803,36,10341
"Buffalo city, New York",276011,42186,112900,49176,4251,49538,10169,5268,3467,5246,136664,36,11000
"Burdett village, New York",479,53393,117200,158,0,11,6,0,0,0,195,36,11132
"Burke village, New York",264,74821,91300,71,0,4,4,8,0,0,88,36,11154
"Burlington Flats CDP, New York",175,74643,162500,72,0,0,0,0,0,0,77,36,11220
"Busti CDP, New York",237,63958,-666666666,72,0,10,10,42,0,0,141,36,11440
"Byersville CDP, New York",33,73125,130100,24,0,0,0,0,0,0,27,36,11550
"Cadyville CDP, New York",596,78533,159100,232,0,0,31,0,0,0,263,36,11616
"Cairo CDP, New York",1195,54777,118800,462,0,6,65,10,0,20,576,36,11638
"Calcium CDP, New York",4092,56825,181900,260,319,240,306,386,90,47,1927,36,11671
"Caledonia village, New York",2139,68021,131000,781,0,121,41,74,10,12,1039,36,11704
"Callicoon CDP, New York",235,51477,137900,166,0,27,22,0,0,0,215,36,11748
"Calverton CDP, New York",6040,55052,198300,1354,166,66,0,0,86,0,3299,36,11781
"Cambridge village, New York",2319,51000,157200,728,6,166,19,85,0,125,1200,36,11825
"Camden village, New York",2728,63611,121600,734,19,167,133,47,71,38,1230,36,11847
"Camillus village, New York",1193,49297,111300,331,73,22,58,60,82,74,712,36,11902
"Campbell CDP, New York",699,53478,75800,197,0,0,10,0,0,0,289,36,11935
"Canajoharie village, New York",1608,47250,88000,474,19,82,81,67,113,19,855,36,12111
"Canandaigua city, New York",10563,52365,186300,2285,627,604,428,450,406,79,5565,36,12144
"Canaseraga village, New York",392,63750,66000,147,0,6,6,5,3,6,189,36,12177
"Canastota village, New York",4609,60714,140900,1165,13,558,158,114,43,0,2174,36,12188
"Candor village, New York",1056,53750,100200,307,8,116,20,30,0,0,537,36,12210
"Canisteo village, New York",2281,60000,90700,696,5,104,64,0,6,47,942,36,12254
"Canton village, New York",6994,55531,175700,840,18,249,200,219,21,410,2072,36,12331
"Cape Vincent village, New York",542,56875,141300,333,5,7,2,10,0,3,382,36,12353
"Captree CDP, New York",276,-666666666,-666666666,229,0,0,0,0,0,0,229,36,12402
"Carle Place CDP, New York",5177,113875,606900,1572,24,89,73,36,38,77,1948,36,12419
