Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,City
2018-06-19,23.16,79.69,4.0,4.39,7.53,8.2,"New York, New York"
2018-06-20,21.13,86.56,3.34,1.08,6.57,8.06,"New York, New York"
2018-06-21,21.87,80.06,2.36,14.22,6.27,8.1,"New York, New York"
2018-06-22,19.48,88.75,5.2,0.13,3.67,7.98,"New York, New York"
2018-06-23,19.12,93.88,4.62,5.33,2.46,7.89,"New York, New York"
2018-06-24,21.65,90.38,3.66,2.47,5.81,7.72,"New York, New York"
2018-06-25,21.45,76.62,4.45,0.26,8.11,8.52,"New York, New York"
2018-06-26,19.71,85.31,4.2,0.02,7.45,8.5,"New York, New York"
2018-06-27,20.33,88.56,6.33,8.39,2.48,7.52,"New York, New York"
2018-06-28,22.9,90.5,5.53,4.84,6.21,7.84,"New York, New York"
2018-06-29,24.38,76.81,2.85,0.0,8.16,8.33,"New York, New York"
2018-06-30,24.75,77.0,3.05,0.0,8.14,8.16,"New York, New York"
2018-07-01,25.73,78.81,2.82,0.0,6.96,7.91,"New York, New York"
2018-07-02,25.34,84.75,2.55,0.04,7.92,7.93,"New York, New York"
2018-07-03,25.32,92.44,3.09,1.56,6.25,7.68,"New York, New York"
2018-07-04,25.31,91.44,2.23,1.74,5.1,7.45,"New York, New York"
2018-07-05,25.76,89.69,4.43,0.76,7.24,7.6,"New York, New York"
2018-07-06,24.55,85.94,5.76,13.68,3.3,7.63,"New York, New York"
2018-07-07,19.92,64.56,5.15,0.0,8.67,8.67,"New York, New York"
2018-07-08,21.12,65.38,2.59,0.0,8.45,8.45,"New York, New York"
2018-07-09,22.26,73.62,4.13,0.0,8.46,8.47,"New York, New York"
2018-07-10,23.69,77.06,4.03,0.06,8.28,8.29,"New York, New York"
2018-07-11,24.0,80.81,2.61,1.55,7.24,7.85,"New York, New York"
2018-07-12,22.65,79.25,2.63,1.07,7.01,8.0,"New York, New York"
2018-07-13,22.7,76.19,2.94,0.01,7.14,7.82,"New York, New York"
2018-07-14,23.88,71.44,5.06,0.22,7.42,7.68,"New York, New York"
2018-07-15,23.48,86.12,3.98,25.6,3.74,7.26,"New York, New York"
2018-07-16,24.91,85.88,4.27,1.22,7.14,7.72,"New York, New York"
2018-07-17,24.52,90.69,5.83,11.59,4.35,7.18,"New York, New York"
2018-07-18,23.75,76.0,4.28,0.45,7.89,8.15,"New York, New York"
2018-07-19,22.33,67.5,3.52,0.0,8.34,8.37,"New York, New York"
2018-07-20,22.62,71.75,3.66,0.0,7.68,8.02,"New York, New York"
2018-07-21,21.67,76.81,7.45,19.24,3.93,7.7,"New York, New York"
2018-07-22,23.5,91.75,8.8,24.88,4.96,7.36,"New York, New York"
2018-07-23,23.91,93.62,7.21,9.68,4.38,7.28,"New York, New York"
2018-07-24,24.27,91.44,6.74,2.8,5.33,7.52,"New York, New York"
2018-07-25,23.85,93.44,6.57,36.7,3.39,6.94,"New York, New York"
2018-07-26,24.67,88.38,4.44,2.12,6.12,7.38,"New York, New York"
