NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Chesapeake city, Virginia",247172,85563,291700,63844,11503,1206,3725,4474,3402,1869,94035,51,16000
"Glendale city, Arizona",245685,60499,252200,53183,4393,730,4628,5045,5513,3159,89455,04,27820
"Garland city, Texas",245075,65278,190700,58566,2806,619,2881,3533,8044,2295,82940,48,29000
"Scottsdale city, Arizona",238685,97409,540000,72357,14664,913,6714,7659,7892,4036,134918,04,65000
"Norfolk city, Virginia",238556,56244,223300,48591,8029,5781,7957,10816,6963,4559,100947,51,57000
"Arlington CDP, Virginia",235764,128145,755800,29785,11006,1257,4368,6874,6813,5009,117546,51,03000
"Boise City city, Idaho",231537,68373,322300,66205,6288,2622,5809,4409,3986,3520,101137,16,08830
"Fremont city, California",231502,153475,1069700,45065,11000,522,2074,2726,2675,3200,78240,06,26000
"Santa Clarita city, California",227182,106166,591400,45657,7229,822,3635,5442,2611,1875,75751,06,69088
"Spokane city, Washington",225709,56977,236300,63584,2791,3072,4059,5344,6208,5910,99933,53,67000
"Richmond city, Virginia",225676,54795,263000,51709,7843,5402,7555,10580,6243,5833,110224,51,67000
"Baton Rouge city, Louisiana",225539,46282,191100,59630,3322,3299,6477,6094,7661,6762,104557,22,05000
"Hialeah city, Florida",224362,43181,280000,30744,6883,1297,4385,5536,6975,10310,78680,12,30000
"San Bernardino city, California",220821,55372,293000,39892,1907,949,3803,4038,2964,2696,65842,06,65000
"Enterprise CDP, Nevada",219566,84298,349800,60665,3171,488,2930,4412,2965,2150,83840,32,23770
"Modesto city, California",217728,67011,330000,53317,4212,1993,4006,2503,1631,1268,74709,06,48354
"Spring Valley CDP, Nevada",217441,63494,318000,48352,4937,1032,7522,12250,7262,2360,92750,32,68585
"Tacoma city, Washington",217332,69956,347100,57874,2754,2684,4302,5510,5458,4900,92347,53,70000
"Des Moines city, Iowa",213545,58444,149700,59322,3776,2394,2241,2839,4416,9159,94354,19,21000
"Rochester city, New York",211100,40083,93100,44895,6295,17091,9901,6064,3643,5065,102764,36,63000
"Huntsville city, Alabama",210081,60959,194500,62508,2388,1381,6189,9257,7566,3531,98740,01,37000
"Yonkers city, New York",209730,72403,420000,20673,3244,8743,10389,5101,4992,10119,85242,36,84000
"Fayetteville city, North Carolina",208497,48923,138800,56399,2711,3367,3854,8437,7027,5574,91338,37,22920
"Moreno Valley city, California",208371,73635,353400,43507,1027,420,1678,3527,1875,674,55532,06,49270
"Fontana city, California",208087,83468,423100,44647,1401,120,1371,1091,1067,806,56690,06,24680
"Columbus city, Georgia",204366,50542,146000,58612,2835,2153,5327,6746,5738,3027,89653,13,19000
"Worcester city, Massachusetts",203867,56746,259800,27533,4941,7710,20546,6384,4826,4103,85218,25,82000
"Oxnard city, California",202981,83180,496100,29842,6424,446,3064,2956,4013,2381,54482,06,54652
