City,State,Total_Population,Median_Household_Income,Median_Home_Value,1_Unit_Detached,1_Unit_Attached,Total_1_Unit
Brownsville, Texas,185849,43174,95700,41909,1931,43840
Rockford, Illinois,148942,47002,97500,40425,3372,43797
Santa Ana, California,313818,77283,556300,37123,6229,43352
Oceanside, California,174461,80837,568700,34202,8341,42543
Salem, Oregon,174193,62185,289500,39810,2697,42507
Lakewood, Colorado,155608,75343,428800,33839,8284,42123
Olathe, Kansas,140339,100849,273600,36721,5132,41853
San Bernardino, California,220821,55372,293000,39892,1907,41799
Irving, Texas,254184,69961,218900,37996,3756,41752
Joliet, Illinois,150323,77373,204800,36492,5008,41500
Naperville, Illinois,149013,135772,433400,34492,6999,41491
Fort Lauderdale, Florida,182247,66994,364100,36142,4802,40944
Savannah, Georgia,147930,49832,170500,37505,3356,40861
Rancho Cucamonga, California,173946,97046,551700,36711,4121,40832
Arlington, Virginia,235764,128145,755800,29785,11006,40791
Killeen, Texas,150082,52072,147400,37797,2526,40323
Charleston, South Carolina,147928,76556,369500,36449,3835,40284
Pembroke Pines, Florida,170346,73024,324300,31482,8433,39915
Palm Bay, Florida,118709,55963,186100,38539,1041,39580
Lancaster, California,171820,61454,303400,38539,930,39469
Palmdale, California,167987,70858,332400,38560,650,39210
Mesquite, Texas,149848,63706,170600,37632,1323,38955
Sunrise Manor, Nevada,196411,47665,213400,36140,2489,38629
Tempe, Arizona,178862,64080,321300,31539,6845,38384
Murfreesboro, Tennessee,148970,66984,274600,32133,5812,37945
Hialeah, Florida,224362,43181,280000,30744,6883,37627
Paradise, Nevada,189852,50085,282600,32398,5051,37449
Visalia, California,140109,69252,267400,35138,1814,36952
McAllen, Texas,141941,52422,138200,34288,2232,36520
Oxnard, California,202981,83180,496100,29842,6424,36266
Thornton, Colorado,140538,86818,376900,31033,4658,35691
Waco, Texas,136800,42687,149400,34085,1591,35676
Ontario, California,175223,71908,438300,30895,4041,34936
Corona, California,157844,95268,530100,31715,2811,34526
Bellevue, Washington,149365,140252,951200,30758,3313,34071
Hollywood, Florida,152597,56912,296000,30553,3311,33864
Hayward, California,162254,98837,653500,27574,5680,33254
Columbia, South Carolina,137276,48791,193100,30077,2906,32983
Worcester, Massachusetts,203867,56746,259800,27533,4941,32474
Pasadena, Texas,151964,61182,142900,31804,552,32356
Garden Grove, California,172708,78046,601000,27337,4755,32092
Denton, Texas,139704,65168,257500,29748,1348,31096
Springfield, Massachusetts,155770,43308,168700,27604,2524,30128
Syracuse, New York,146781,40490,99200,27372,2669,30041
Escondido, California,151443,70115,498000,26202,3810,30012
Pomona, California,151592,67549,446300,26390,3103,29493
Sunnyvale, California,155550,161670,1528500,22858,6446,29304
Alexandria, Virginia,158185,105450,579100,11174,16880,28054
Glendale, California,196512,74488,865400,25344,2708,28052
Salinas, California,163004,75747,477200,25356,2435,27791
Gainesville, Florida,138741,40937,182400,24667,3067,27734
Newark, New Jersey,306247,41335,271700,13324,12529,25853
Yonkers, New York,209730,72403,420000,20673,3244,23917
Providence, Rhode Island,188812,55787,248900,19518,2077,21595
Bridgeport, Connecticut,148529,50597,194100,15760,4879,20639
Jersey City, New Jersey,287146,81390,437200,9402,9001,18403
Paterson, New Jersey,157927,48540,269200,8954,1725,10679
